"Frequency","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily","D:Daily"
"Reference area","AE:United Arab Emirates","AL:Albania","AR:Argentina","AT:Austria","AU:Australia","BA:Bosnia and Herzegovina","BE:Belgium","BG:Bulgaria","BH:Bahrain","BN:Brunei","BR:Brazil","CA:Canada","CH:Switzerland","CL:Chile","CN:China","CO:Colombia","CY:Cyprus","CZ:Czech Republic","DE:Germany","DK:Denmark","DZ:Algeria","EE:Estonia","ES:Spain","FI:Finland","FR:France","GB:United Kingdom","GR:Greece","HK:Hong Kong SAR","HR:Croatia","HU:Hungary","ID:Indonesia","IE:Ireland","IL:Israel","IN:India","IR:Iran","IS:Iceland","IT:Italy","JP:Japan","KR:South Korea","KW:Kuwait","KZ:Kazakhstan","LK:Sri Lanka","LT:Lithuania","LU:Luxembourg","LV:Latvia","MK:Macedonia, FYR","MT:Malta","MU:Mauritius","MX:Mexico","MY:Malaysia","NL:Netherlands","NO:Norway","NP:Nepal","NZ:New Zealand","OM:Oman","PE:Peru","PH:Philippines","PK:Pakistan","PL:Poland","PT:Portugal","QA:Qatar","RO:Romania","RS:Serbia","RU:Russia","SA:Saudi Arabia","SE:Sweden","SG:Singapore","SI:Slovenia","SK:Slovakia","TH:Thailand","TN:Tunisia","TR:Turkey","TT:Trinidad and Tobago","TW:Chinese Taipei","UA:Ukraine","US:United States","UY:Uruguay","VE:Venezuela","XM:Euro area","XW:World","ZA:South Africa"
"Currency","AED:UAE Dirham","ALL:Albanian Lek","ARS:Argentine Peso","EUR:Euro","AUD:Australian Dollar","BAM:Bosnian Convertible Mark","EUR:Euro","BGN:Bulgarian Lev","BHD:Bahraini Dinar","BND:Brunei Dollar","BRL:Brazilian Real","CAD:Canadian Dollar","CHF:Swiss Franc","CLP:Chilean Peso","CNY:Yuan Renminbi","COP:Colombian Peso","EUR:Euro","CZK:Czech Koruna","EUR:Euro","DKK:Danish Krone","DZD:Algerian Dinar","EUR:Euro","EUR:Euro","EUR:Euro","EUR:Euro","GBP:Pound Sterling","EUR:Euro","HKD:Hong Kong Dollar","HRK:Croatian Kuna","HUF:Hungarian Forint","IDR:Indonesia Rupiah","EUR:Euro","ILS:New Israeli Sheqel","INR:Indian Rupee","IRR:Iranian Rial","ISK:Iceland Krona","EUR:Euro","JPY:Japanese Yen","KRW:Korean Won","KWD:Kuwaiti Dinar","KZT:Kazakhstan Tenge","LKR:Sri Lanka Rupee","EUR:Euro","EUR:Euro","EUR:Euro","MKD:Macedonian Denar","EUR:Euro","MUR:Mauritius Rupee","MXN:Mexican Peso","MYR:Malaysian Ringgit","EUR:Euro","NOK:Norwegian Krone","NPR:Nepalese Rupee","NZD:New Zealand Dollar","OMR:Rial Omani","PEN:Peru New Sol","PHP:Philippine Piso","PKR:Pakistan Rupee","PLN:Polish zloty","EUR:Euro","QAR:Qatari Rial","RON:Romanian Leu","RSD:Serbian Dinar","RUB:Russian Rouble","SAR:Saudi Riyal","SEK:Swedish Krona","SGD:Singapore Dollar","EUR:Euro","EUR:Euro","THB:Thai Baht","TND:Tunisian Dinar","TRY:Turkish Lira","TTD:Trinidad and Tobago Dollar","TWD:New Taiwan Dollar","UAH:Ukrainian Hryvnia","USD:US Dollar","UYU:Uruguayan Peso","VEF:Bolivar Fuerte","EUR:Euro","XDR:SDR","ZAR:South African Rand"
"Collection","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period","A:Average of observations through period"
"Time Period","D:AE:AED:A","D:AL:ALL:A","D:AR:ARS:A","D:AT:EUR:A","D:AU:AUD:A","D:BA:BAM:A","D:BE:EUR:A","D:BG:BGN:A","D:BH:BHD:A","D:BN:BND:A","D:BR:BRL:A","D:CA:CAD:A","D:CH:CHF:A","D:CL:CLP:A","D:CN:CNY:A","D:CO:COP:A","D:CY:EUR:A","D:CZ:CZK:A","D:DE:EUR:A","D:DK:DKK:A","D:DZ:DZD:A","D:EE:EUR:A","D:ES:EUR:A","D:FI:EUR:A","D:FR:EUR:A","D:GB:GBP:A","D:GR:EUR:A","D:HK:HKD:A","D:HR:HRK:A","D:HU:HUF:A","D:ID:IDR:A","D:IE:EUR:A","D:IL:ILS:A","D:IN:INR:A","D:IR:IRR:A","D:IS:ISK:A","D:IT:EUR:A","D:JP:JPY:A","D:KR:KRW:A","D:KW:KWD:A","D:KZ:KZT:A","D:LK:LKR:A","D:LT:EUR:A","D:LU:EUR:A","D:LV:EUR:A","D:MK:MKD:A","D:MT:EUR:A","D:MU:MUR:A","D:MX:MXN:A","D:MY:MYR:A","D:NL:EUR:A","D:NO:NOK:A","D:NP:NPR:A","D:NZ:NZD:A","D:OM:OMR:A","D:PE:PEN:A","D:PH:PHP:A","D:PK:PKR:A","D:PL:PLN:A","D:PT:EUR:A","D:QA:QAR:A","D:RO:RON:A","D:RS:RSD:A","D:RU:RUB:A","D:SA:SAR:A","D:SE:SEK:A","D:SG:SGD:A","D:SI:EUR:A","D:SK:EUR:A","D:TH:THB:A","D:TN:TND:A","D:TR:TRY:A","D:TT:TTD:A","D:TW:TWD:A","D:UA:UAH:A","D:US:USD:A","D:UY:UYU:A","D:VE:VEF:A","D:XM:EUR:A","D:XW:XDR:A","D:ZA:ZAR:A"
"1949-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"1949-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"1949-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"1949-01-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"1949-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"1949-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
