examine,id,members,lowalch,limit,value,highalch,icon,name
Fabulously ancient mage protection enchanted in the 3rd Age.,10344,True,20200.0,8.0,50500,30300.0,3rd age amulet.png,3rd age amulet
"A beautifully crafted axe, shaped by ancient smiths.",20011,True,22000.0,40.0,55000,33000.0,3rd age axe.png,3rd age axe
A beautifully crafted bow carved by ancient archers.,12424,True,60000.0,8.0,150000,90000.0,3rd age bow.png,3rd age bow
A beautiful cloak woven by ancient tailors.,12437,True,34000.0,8.0,85000,51000.0,3rd age cloak.png,3rd age cloak
A fabulously ancient vine cloak as worn by the druids of old.,23345,True,80000.0,8.0,200000,120000.0,3rd age druidic cloak.png,3rd age druidic cloak
A fabulously ancient woven robe as worn by the druids of old.,23339,True,80000.0,4.0,200000,120000.0,3rd age druidic robe bottoms.png,3rd age druidic robe bottoms
A fabulously ancient woven robe top as worn by the druids of old.,23336,True,80000.0,4.0,200000,120000.0,3rd age druidic robe top.png,3rd age druidic robe top
A fabulously ancient gnarled staff as used by the druids of old.,23342,True,80000.0,8.0,200000,120000.0,3rd age druidic staff.png,3rd age druidic staff
Fabulously ancient armour beaten from magical silver.,10350,True,36000.0,8.0,90000,54000.0,3rd age full helmet.png,3rd age full helmet
Fabulously ancient armour beaten from magical silver.,10352,True,72000.0,8.0,180000,108000.0,3rd age kiteshield.png,3rd age kiteshield
A beautifully crafted sword forged by ancient blacksmiths.,12426,True,60000.0,8.0,150000,90000.0,3rd age longsword.png,3rd age longsword
Fabulously ancient mage protection enchanted in the 3rd Age.,10342,True,20160.0,8.0,50400,30240.0,3rd age mage hat.png,3rd age mage hat
"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,True,39180.0,40.0,97950,58770.0,3rd age pickaxe.png,3rd age pickaxe
Fabulously ancient armour beaten from magical silver.,10348,True,80000.0,8.0,200000,120000.0,3rd age platebody.png,3rd age platebody
Fabulously ancient armour beaten from magical silver.,10346,True,80000.0,8.0,200000,120000.0,3rd age platelegs.png,3rd age platelegs
Fabulously ancient armour beaten from magical silver.,23242,True,80000.0,8.0,200000,120000.0,3rd age plateskirt.png,3rd age plateskirt
Fabulously ancient range protection crafted from white dragonhide.,10334,True,20160.0,8.0,50400,30240.0,3rd age range coif.png,3rd age range coif
Fabulously ancient range protection crafted from white dragonhide.,10332,True,20240.0,8.0,50600,30360.0,3rd age range legs.png,3rd age range legs
Fabulously ancient range protection crafted from white dragonhide.,10330,True,20320.0,8.0,50800,30480.0,3rd age range top.png,3rd age range top
Fabulously ancient mage protection enchanted in the 3rd Age.,10340,True,20240.0,8.0,50600,30360.0,3rd age robe.png,3rd age robe
Fabulously ancient mage protection enchanted in the 3rd Age.,10338,True,20320.0,8.0,50800,30480.0,3rd age robe top.png,3rd age robe top
Fabulously ancient range protection crafted from white dragonhide.,10336,True,20200.0,8.0,50500,30300.0,3rd age vambraces.png,3rd age vambraces
A beautifully crafted wand infused by ancient wizards.,12422,True,60000.0,8.0,150000,90000.0,3rd age wand.png,3rd age wand
