5m_range,1h_range,6h_range,5m_mean
"(189445.5, 190532.5)","(187321.5, 191333.5)","(187140.25, 191055.75)",190131.08256880735
"(18.0, 48.0)","(15.0, 49.0)","(2.0, 20.0)",26.45614035087719
"(45.5, 50.5)","(45.5, 60.5)","(48.0, 58.0)",48.53818181818182
"(-10.5, 36.5)","(36.0, 84.0)","(-8.5, 28.5)",27.522222222222222
"(1165.375, 1191.625)","(1144.875, 1186.125)","(960.25, 1301.75)",1175.1328125
"(12.0, 12.0)","(12.0, 12.0)","(-12.25, 203.25)",11.52016129032258
"(722.5, 969.5)","(164.0, 1528.0)","(699.5, 958.5)",8026.201492537313
"(789.5, 920.5)","(706.75, 893.25)","(544.125, 1245.875)",852.1692913385826
"(135.125, 142.875)","(132.0, 144.0)","(118.0, 212.0)",135.1150442477876
"(1583.0, 2021.0)","(1692.5, 2005.5)","(23.75, 4956.25)",1916.0478260869565
"(1619.875, 1692.125)","(1621.125, 1758.875)","(1668.0, 1762.0)",1726.6333333333334
"(1364.5, 1735.5)","(1071.0, 1431.0)","(1182.0, 1438.0)",1413.525179856115
"(2.5, 5.5)","(2.5, 3.5)","(2.5, 3.5)",4.646464646464646
"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)",1.15
"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)",1.1544117647058822
"(6.0, 8.0)","(3.5, 6.5)","(5.5, 6.5)",6.217948717948718
"(27.0, 73.0)","(48.75, 51.25)","(22.25, 69.75)",29.252380952380953
"(81.375, 112.625)","(83.875, 112.125)","(99.5, 120.5)",105.33333333333333
"(338.0, 418.0)","(390.0, 430.0)","(323.0, 571.0)",362.5445026178011
"(857.5, 1842.5)","(267.375, 1425.625)","(425.625, 688.375)",1642.1715976331361
"(315.875, 1280.125)","(172.125, 2039.875)","(554.75, 1133.25)",1211.107142857143
"(4026.0, 5440.0)","(4597.25, 5056.75)","(4704.125, 5567.875)",5200.651515151515
"(2372.625, 2405.375)","(2374.125, 2569.875)","(2194.25, 2680.75)",2382.247474747475
"(3588.0, 4406.0)","(4011.875, 4610.125)","(3850.25, 5139.75)",4043.310638297872
"(83080387.75, 84319610.25)","(82032277.5, 84365722.5)","(73736872.125, 85637069.875)",83913200.61714286
"(31098764.0, 32385236.0)","(31087228.5, 32318113.5)","(31192134.0, 32449464.0)",32051610.568965517
"(18259.5, 23986.5)","(18723.125, 23045.875)","(17171.25, 20042.75)",21334.28947368421
"(92284.0, 106858.0)","(97441.75, 117938.25)","(99951.625, 137209.375)",100157.92727272728
"(652913.5, 676798.5)","(616759.5, 668756.5)","(618392.875, 677038.125)",663161.7142857143
"(83481.0, 92019.0)","(80397.75, 89665.25)","(82142.25, 89595.75)",90876.80813953489
"(16332.5, 25779.5)","(20572.5, 29755.5)","(17062.125, 24597.875)",23532.124324324323
"(89827.0, 102047.0)","(87141.875, 97994.125)","(88028.625, 96885.375)",94616.54696132596
"(78667.5, 96754.5)","(53799.0, 73295.0)","(65612.125, 83714.875)",80515.05298013244
"(474726.5, 487021.5)","(429959.75, 498384.25)","(404775.625, 455873.375)",484223.02645502647
"(634690.25, 712545.75)","(640944.0, 693868.0)","(615579.75, 720647.25)",685193.7487179487
"(-2210.5, 4200.5)","(980.5, 1175.5)","(-805.375, 3194.375)",4316.88
"(1181.5, 1770.5)","(1212.5, 1775.5)","(-96.125, 3488.125)",2768.35593220339
"(-908.0, 2834.0)","(36.125, 3727.875)","(849.0, 4929.0)",4967.743362831859
"(796.5, 1125.5)","(873.0, 1191.0)","(960.125, 1301.875)",5217.0873786407765
"(26829.0, 29169.0)","(26772.5, 28239.5)","(24707.25, 30847.75)",29645.127906976744
"(42139.0, 45101.0)","(37999.0, 41597.0)","(33427.75, 41285.25)",42124.75925925926
"(6763.5, 6798.5)","(6711.75, 6816.25)","(6418.75, 6806.25)",6789.731543624161
"(1472.0, 1592.0)","(1387.75, 1871.25)","(1222.625, 1771.375)",1559.1375464684015
"(1909.625, 1969.375)","(1813.625, 1925.375)","(1690.125, 1804.875)",1947.0891089108911
"(4705.0, 5695.0)","(4200.5, 6199.5)","(4410.5, 6409.5)",4932.1466666666665
"(16.0, 70.0)","(20.875, 55.125)","(23.0, 37.0)",51.254752851711025
"(29.0, 79.0)","(31.5, 67.5)","(34.5, 62.5)",60.28270042194093
"(1335.0, 1529.0)","(1289.0, 1451.0)","(1286.5, 1434.5)",1387.9180327868853
"(430.75, 569.25)","(370.5, 495.5)","(393.125, 478.875)",432.2825112107623
"(1381.5, 1394.5)","(1297.0, 1413.0)","(1312.25, 1393.75)",1372.1739130434783
"(3410.75, 3597.25)","(3486.5, 3563.5)","(3488.0, 3594.0)",3558.40350877193
"(1820.125, 2148.875)","(2551.5, 5127.5)","(1357.625, 1820.375)",1988.1951219512196
"(37792.125, 37845.875)","(37792.0, 37906.0)","(37793.5, 37873.5)",37905.80281690141
"(52273.625, 53686.375)","(52786.5, 54107.5)","(52827.125, 53978.875)",53161.637931034486
"(1241.0, 1759.0)","(1233.0, 1761.0)","(1328.0, 1412.0)",2895.590163934426
"(3739.5, 4060.5)","(3615.0, 3847.0)","(3637.0, 3898.0)",3777.7926829268295
"(35814.625, 36185.375)","(33160.5, 35160.5)","(28424.375, 32947.625)",36141.072
"(22972.5, 23631.5)","(22715.875, 23824.125)","(20847.25, 22376.75)",23640.18181818182
"(-1207.0, 32641.0)","(14303.125, 17130.875)","(12539.0, 14950.0)",52828.9375
"(37761.375, 37923.625)","(37791.25, 37924.75)","(37853.0, 37989.0)",37907.29878048781
"(15759.0, 17141.0)","(14634.5, 15363.5)","(8477.0, 11849.0)",16703.978260869564
"(8.5, 11.5)","(5.5, 8.5)","(5.0, 7.0)",8.817021276595744
"(395.5, 524.5)","(415.25, 512.75)","(265.875, 626.125)",462.79399141630904
"(2136.5, 2261.5)","(2134.875, 2297.125)","(2103.75, 2251.25)",2252.877470355731
"(178088.5, 193539.5)","(183196.75, 208852.25)","(91790.75, 163153.25)",195310.64397905758
"(268.5, 301.5)","(318.0, 500.0)","(262.5, 400.5)",289.7096774193548
"(1168.0, 5054.0)","(3584.5, 6823.5)","(2825.5, 5246.5)",4222.165605095542
"(286.0, 344.0)","(311.0, 337.0)","(331.875, 551.125)",292.8888888888889
"(216.5, 229.5)","(186.0, 206.0)","(218.625, 251.375)",218.02912621359224
"(1188.125, 1211.875)","(1177.5, 1208.5)","(1177.625, 1215.375)",1212.5365853658536
"(2245.5, 2354.5)","(2186.0, 2254.0)","(2221.5, 2270.5)",2283.8306010928964
"(2004.5, 2021.5)","(2002.5, 2025.5)","(2046.25, 2083.75)",2018.6898148148148
"(2223.0, 2265.0)","(2206.0, 2242.0)","(2256.875, 2301.125)",2244.570652173913
"(12643.5, 12750.5)","(12620.0, 12838.0)","(12457.25, 12747.75)",12534.098484848484
"(12302.0, 12302.0)","(12337.0, 12437.0)","(12278.25, 12371.75)",12308.254658385093
"(11894.5, 11916.5)","(11874.625, 12025.375)","(11856.25, 11983.75)",11928.479591836734
"(12308.0, 12370.0)","(12236.0, 12325.0)","(12245.75, 12332.25)",12313.41628959276
"(1956642.0, 2002246.0)","(1895194.75, 1955765.25)","(1886779.625, 1964039.375)",1977606.2969432315
"(29428.0, 29596.0)","(29437.875, 29624.125)","(29537.75, 29664.25)",29612.632352941175
"(85.25, 128.75)","(91.625, 122.375)","(87.875, 112.125)",118.40088105726872
"(880.5, 919.5)","(870.5, 918.5)","(866.0, 904.0)",897.5633187772926
"(51642.0, 57280.0)","(50642.5, 64427.5)","(52871.25, 62268.75)",56321.55828220859
"(2764.0, 2772.0)","(2752.875, 2813.125)","(2722.25, 2781.75)",2779.211155378486
"(1846.75, 1877.25)","(1703.375, 1982.625)","(1448.125, 1647.875)",1870.4274509803922
"(9504.0, 9582.0)","(9509.5, 9542.5)","(9493.875, 9550.125)",9552.966527196653
"(2125.375, 2268.625)","(2169.875, 2218.125)","(1877.0, 2059.0)",2229.455223880597
"(2508.5, 2539.5)","(2450.5, 2541.5)","(2226.375, 2455.625)",2519.3658536585367
"(926861.625, 967494.375)","(668491.0, 753034.0)","(648570.75, 727037.25)",946731.1930693069
"(1894.0, 1930.0)","(1690.0, 1993.0)","(1476.25, 1686.75)",1902.3457943925234
"(1818.5, 1819.5)","(1743.5, 1864.5)","(1563.75, 1906.25)",1872.837837837838
"(2816.0, 3088.0)","(2995.5, 3324.5)","(2421.875, 2787.125)",2957.9506172839506
"(3824.75, 3897.25)","(3841.5, 3958.5)","(3032.0, 3738.0)",3866.393548387097
"(1728.5, 1969.5)","(1640.25, 1845.75)","(1548.0, 1864.0)",1880.4833333333333
"(2576.875, 2623.125)","(2473.625, 2738.375)","(2084.5, 3081.5)",2741.48
"(4775.875, 4924.125)","(4862.75, 5161.25)","(3984.875, 4520.125)",4811.225409836065
"(3431.0, 4599.0)","(4757.25, 8120.75)","(2610.125, 4548.875)",3817.661224489796
"(4791.5, 4830.5)","(4700.75, 4839.25)","(4546.625, 4828.375)",4941.408695652174
"(21400.625, 22132.375)","(21400.0, 22198.0)","(21623.0, 22923.0)",22143.765151515152
"(40500.5, 41499.5)","(39673.75, 41776.25)","(35169.25, 41259.75)",41108.51
"(375506.25, 376961.75)","(366175.0, 378837.0)","(351649.5, 368905.5)",376196.94736842107
"(789.0, 875.0)","(711.0, 826.0)","(688.25, 792.75)",865.7207547169811
"(38303.5, 38532.5)","(38373.375, 38549.625)","(38419.75, 38515.25)",38531.89679715302
"(3790593.5, 3897652.5)","(3543708.125, 3627312.875)","(3540263.375, 3702550.625)",3846337.322344322
"(361.5, 370.5)","(365.0, 377.0)","(337.5, 394.5)",368.62820512820514
"(11.5, 16.5)","(8.5, 15.5)","(8.0, 14.0)",13.45754716981132
"(58.0, 78.0)","(40.25, 104.75)","(74.375, 144.625)",56.853658536585364
"(4246.0, 4302.0)","(4234.25, 4255.75)","(4234.5, 4251.5)",4280.797413793103
"(67.5, 132.5)","(27.75, 38.25)","(20.875, 102.125)",81.65957446808511
"(253.0, 339.0)","(286.0, 354.0)","(216.0, 404.0)",326.3690987124464
"(11059.0, 11075.0)","(11064.75, 11119.25)","(11074.0, 11126.0)",11104.201058201059
"(58907.5, 59256.5)","(58973.75, 59718.25)","(59107.375, 59503.625)",59209.96153846154
"(246.0, 258.0)","(252.5, 255.5)","(219.25, 253.75)",264.1014492753623
"(95.0, 201.0)","(72.5, 377.5)","(111.75, 276.25)",194.92344497607655
"(725.0, 813.0)","(709.5, 922.5)","(703.75, 798.25)",753.1382488479263
"(1726.5, 1953.5)","(1805.625, 1921.375)","(1774.125, 1925.875)",1900.2222222222222
"(20562.0, 20572.0)","(20530.375, 20591.625)","(20533.875, 20594.125)",20593.397923875433
"(408.0, 462.0)","(394.25, 516.75)","(428.375, 561.625)",502.61304347826086
"(6.5, 9.5)","(-6.0, 54.0)","(4.5, 21.5)",18.465686274509803
"(56.0, 86.0)","(80.0, 96.0)","(90.5, 95.5)",67.37086092715232
"(32.625, 49.375)","(18.0, 38.0)","(10.375, 61.625)",32.411764705882355
"(220.5, 379.5)","(150.0, 298.0)","(174.0, 246.0)",264.668085106383
"(37430180.75, 37599817.25)","(36070150.375, 39431044.625)","(32708316.75, 36479547.25)",37494512.902834006
"(463891.0, 503891.0)","(479196.0, 495304.0)","(489268.75, 499965.25)",502302.24034334766
"(11249408.0, 11325660.0)","(11976535.25, 13119310.75)","(10227899.375, 12609844.625)",11295330.15925926
"(14091934.0, 14252626.0)","(14004599.5, 14193629.5)","(12561912.25, 14322415.75)",14186771.681318682
"(25571672.25, 25907706.75)","(25231134.5, 25705983.5)","(23882054.25, 25364694.75)",25714584.12173913
"(4586814.0, 4713186.0)","(4846960.375, 5739755.625)","(3688353.75, 4910649.25)",4657111.046296297
"(150739.75, 151324.25)","(149965.0, 152659.0)","(152744.875, 158231.125)",151190.33333333334
"(153596.5, 156403.5)","(151379.0, 153007.0)","(153403.75, 158800.25)",154731.0
"(12146604.5, 12648017.5)","(11584091.125, 12181263.875)","(12108177.375, 12887426.625)",12428270.967213115
"(10898480.0, 11199604.0)","(9636402.125, 11085571.875)","(8531012.75, 10344178.25)",11131196.362869198
"(41970064.5, 42357425.5)","(41100297.125, 43693088.875)","(38800631.375, 41782792.625)",42185664.24576271
"(1866.625, 2238.375)","(1902.75, 2295.25)","(1930.375, 2237.625)",2254.0235294117647
"(36935180.375, 37405280.625)","(35888354.125, 39031787.875)","(35456862.25, 36733032.75)",37188360.962184876
"(27676203.75, 28149542.25)","(26624302.375, 27828101.625)","(24431718.25, 26113255.75)",27897269.37065637
"(21377082.875, 21478257.125)","(21387249.625, 21558776.375)","(21545769.5, 21913615.5)",21447142.94890511
"(215921.75, 233436.25)","(228780.875, 240337.125)","(230813.0, 252262.0)",223805.03883495147
"(286353.25, 333646.75)","(275064.625, 300524.375)","(247267.25, 287541.75)",313328.10822510824
"(172466.75, 174153.25)","(173350.25, 175555.75)","(173245.75, 177786.25)",173280.9024390244
"(22511.5, 22520.5)","(22474.625, 22563.375)","(22518.5, 22632.5)",22548.60655737705
"(301256.5, 308001.5)","(303151.375, 307851.625)","(304337.0, 309041.0)",305053.09497206705
"(59.5, 60.5)","(59.5, 60.5)","(59.0, 61.0)",59.45185185185185
"(58.0, 58.0)","(58.0, 58.0)","(57.5, 58.5)",57.72
"(40122.5, 40933.5)","(40335.0, 40967.0)","(40391.0, 40715.0)",40486.1935483871
"(735480.5, 770381.5)","(739568.625, 765287.375)","(723321.375, 787031.625)",760498.4529147982
"(40357.0, 49643.0)","(43547.5, 49930.5)","(43484.0, 48838.0)",47113.35294117647
"(5779847.25, 5814432.75)","(5721707.75, 5919554.25)","(4841184.5, 5100916.5)",5797075.101960785
"(335.0, 345.0)","(242.5, 361.5)","(235.5, 328.5)",326.0984455958549
"(1610.0, 1714.0)","(1651.25, 1732.75)","(1411.25, 1653.75)",1643.916230366492
"(3190.5, 3263.5)","(3154.5, 3242.5)","(2992.25, 3629.75)",3238.5343915343915
"(3033.5, 3632.5)","(2524.0, 3474.0)","(922.125, 1912.875)",18860.137931034482
"(94.5, 189.5)","(159.875, 210.125)","(135.5, 192.5)",165.8832116788321
"(89.5, 118.5)","(111.0, 140.0)","(98.0, 126.0)",108.33128834355828
"(43.5, 54.5)","(50.0, 58.0)","(49.0, 61.0)",51.572649572649574
"(2505.875, 2533.125)","(2654.75, 2928.25)","(2520.25, 3045.75)",2517.9754098360654
"(12627.0, 12627.0)","(12548.0, 12728.0)","(12711.25, 12864.75)",12593.622895622895
"(998.5, 1095.5)","(1029.625, 1096.375)","(1035.875, 1090.125)",1092.4226804123712
"(12352.0, 12456.0)","(12353.0, 12627.0)","(12657.75, 12913.25)",12361.25167785235
"(13251.0, 13601.0)","(12304.375, 12630.625)","(12595.875, 13202.125)",14008.413559322034
"(14195.75, 14268.25)","(13682.0, 14171.0)","(13580.625, 14021.375)",14303.067415730337
"(2820.0, 2960.0)","(2871.0, 2965.0)","(2907.0, 2981.0)",2890.8695652173915
