,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,175659.0,1,1646682000,10
10006,9.0,10,,0,1646682000,10006
10008,54.0,140,,0,1646682000,10008
10010,15.0,4,,0,1646682000,10010
10012,499.0,1,,0,1646682000,10012
10020,,0,97.0,17,1646682000,10020
10025,899.0,8,,0,1646682000,10025
10029,6.0,80,,0,1646682000,10029
10034,840.0,400,816.0,1004,1646682000,10034
1005,,0,102.0,1,1646682000,1005
10065,7000.0,2,,0,1646682000,10065
10069,1317.0,3,,0,1646682000,10069
1007,250.0,2,,0,1646682000,1007
10075,,0,10667.0,15,1646682000,10075
10083,,0,1645.0,22,1646682000,10083
10091,,0,13.0,92,1646682000,10091
101,873.0,1,,0,1646682000,101
1011,64.0,1,,0,1646682000,1011
10115,970.0,141,1117.0,73,1646682000,10115
1013,87.0,2,,0,1646682000,1013
10148,614.0,1,,0,1646682000,10148
1017,,0,457.0,1,1646682000,1017
1019,650.0,10,,0,1646682000,1019
10282,,0,2904.0,2,1646682000,10282
10290,,0,22107.0,1,1646682000,10290
103,,0,2574.0,63,1646682000,103
10326,,0,99.0,15,1646682000,10326
10327,,0,74.0,54,1646682000,10327
1033,4206.0,9,4012.0,1,1646682000,1033
1035,1413.0,13,,0,1646682000,1035
10354,,0,56856.0,1,1646682000,10354
10368,,0,144557.0,1,1646682000,10368
10370,,0,654789.0,1,1646682000,10370
10372,,0,810255.0,1,1646682000,10372
10374,,0,115196.0,2,1646682000,10374
10378,300555.0,1,281555.0,1,1646682000,10378
1038,2323.0,15,,0,1646682000,1038
10380,588658.0,1,572679.0,1,1646682000,10380
10382,107000.0,1,,0,1646682000,10382
10384,96800.0,1,,0,1646682000,10384
10386,454608.0,2,,0,1646682000,10386
10388,796149.0,3,,0,1646682000,10388
10390,88050.0,2,,0,1646682000,10390
10440,,0,5647.0,1,1646682000,10440
10450,,0,18456.0,1,1646682000,10450
10454,,0,30000.0,2,1646682000,10454
10458,368555.0,1,,0,1646682000,10458
10464,115308.0,1,112000.0,1,1646682000,10464
10472,4464.0,2,,0,1646682000,10472
10476,,0,6617.0,1612,1646682000,10476
10496,5000.0,1,3333.0,8,1646682000,10496
105,1716.0,601,1704.0,1,1646682000,105
1050,5917.0,5,,0,1646682000,1050
1059,20.0,25,23.0,3,1646682000,1059
1061,36.0,2,,0,1646682000,1061
1063,18.0,10,,0,1646682000,1063
1065,1426.0,6,1322.0,2,1646682000,1065
1069,627.0,1,401.0,108,1646682000,1069
107,1939.0,603,1939.0,7961,1646682000,107
1073,3481.0,6,3481.0,17,1646682000,1073
1077,1750.0,2,,0,1646682000,1077
1079,37809.0,72,37777.0,193,1646682000,1079
10812,897.0,8,,0,1646682000,10812
10822,1160.0,1,,0,1646682000,10822
10826,2148.0,4,,0,1646682000,10826
10828,52000.0,26,51503.0,36,1646682000,10828
1085,,0,1391.0,13,1646682000,1085
109,,0,1097.0,19998,1646682000,109
1091,3492.0,3,,0,1646682000,1091
10925,27370.0,67,26738.0,4,1646682000,10925
1093,37805.0,18,37805.0,21,1646682000,1093
1095,5.0,66,,0,1646682000,1095
1097,989.0,2,545.0,1,1646682000,1097
1099,2049.0,7,,0,1646682000,1099
1101,92.0,1,60.0,4,1646682000,1101
11037,,0,125916.0,1,1646682000,11037
11061,7000.0,2,,0,1646682000,11061
1107,,0,1891.0,1,1646682000,1107
1109,903.0,1,,0,1646682000,1109
11090,2273.0,27,2208.0,2490,1646682000,11090
11092,2090.0,1278,2080.0,3,1646682000,11092
111,8600.0,1,,0,1646682000,111
11105,12653.0,1,,0,1646682000,11105
11113,,0,12351.0,8,1646682000,11113
11115,,0,11873.0,1,1646682000,11115
11118,12363.0,1,12090.0,1,1646682000,11118
11126,,0,12226.0,1501,1646682000,11126
11128,1923833.0,1,,0,1646682000,11128
1113,29446.0,5,29449.0,74,1646682000,1113
11133,1946810.0,1,1900000.0,1,1646682000,11133
1115,97.0,128,106.0,17,1646682000,1115
1119,842.0,1,771.0,1,1646682000,1119
1121,2823.0,2,2734.0,4138,1646682000,1121
11212,1296.0,3399,1273.0,112,1646682000,11212
1123,9500.0,1,9400.0,28,1646682000,1123
11230,1935.0,400,1933.0,17759,1646682000,11230
11232,2317.0,10,2219.0,2840,1646682000,11232
11235,729998.0,1,717841.0,4,1646682000,11235
11237,,0,1359.0,2001,1646682000,11237
11238,1892.0,25,1892.0,31,1646682000,11238
11240,,0,2507.0,58,1646682000,11240
11242,,0,3243.0,354,1646682000,11242
11244,1799.0,23,1759.0,15,1646682000,11244
11246,,0,2326.0,14,1646682000,11246
11248,,0,4400.0,3924,1646682000,11248
1125,3250.0,2,3023.0,3,1646682000,1125
11250,4855.0,52,4758.0,96,1646682000,11250
11252,,0,21406.0,57,1646682000,11252
11254,39896.0,124,38953.0,12,1646682000,11254
11256,,0,339500.0,12,1646682000,11256
11260,769.0,2836,753.0,1495,1646682000,11260
1127,38391.0,29,38391.0,162,1646682000,1127
11284,3608286.0,7,3562166.0,3,1646682000,11284
113,330.0,13,307.0,1,1646682000,113
11328,,0,17.0,19,1646682000,11328
1133,,0,330.0,4,1646682000,1133
11330,,0,17.0,10,1646682000,11330
11332,,0,180.0,24,1646682000,11332
1135,4239.0,203,4234.0,2,1646682000,1135
1137,19.0,2,,0,1646682000,1137
11377,11933.0,1,11933.0,1,1646682000,11377
1139,79.0,3,,0,1646682000,1139
1147,11185.0,73,11089.0,62,1646682000,1147
11471,,0,50.0,1430,1646682000,11471
1149,58864.0,1,58800.0,13,1646682000,1149
1153,65.0,1,60.0,1,1646682000,1153
1155,295.0,1,,0,1646682000,1155
1159,718.0,1,,0,1646682000,1159
1161,1871.0,14,1763.0,14,1646682000,1161
1163,20483.0,66,20484.0,267,1646682000,1163
1165,539.0,2,,0,1646682000,1165
1169,33.0,1,,0,1646682000,1169
11785,35072462.0,3,34782967.0,4,1646682000,11785
1179,,0,419.0,1,1646682000,1179
11791,7868000.0,1,,0,1646682000,11791
11802,12553433.0,11,12376922.0,8,1646682000,11802
11804,14079131.0,7,13920176.0,8,1646682000,11804
11806,26767516.0,1,,0,1646682000,11806
11808,4424726.0,1,4348471.0,2,1646682000,11808
11816,,0,3700008.0,1,1646682000,11816
11820,,0,153000.0,1,1646682000,11820
11824,12570373.0,1,,0,1646682000,11824
11826,9184518.0,3,9041686.0,5,1646682000,11826
11828,39773963.0,4,39315386.0,2,1646682000,11828
1183,2299.0,1,2174.0,13,1646682000,1183
11830,35557969.0,6,35240865.0,5,1646682000,11830
11832,25469016.0,7,25324740.0,3,1646682000,11832
11834,21742685.0,4,21442000.0,1,1646682000,11834
11836,,0,255672.0,2,1646682000,11836
11838,,0,264032.0,3,1646682000,11838
11840,170669.0,3,169479.0,9,1646682000,11840
1185,22797.0,1,22640.0,1,1646682000,1185
1187,,0,300177.0,1,1646682000,1187
11875,67.0,2000,65.0,353,1646682000,11875
11889,12872049.0,1,12677217.0,3,1646682000,11889
1189,,0,92.0,1,1646682000,1189
11905,749687.0,5,,0,1646682000,11905
11908,46599.0,2,45005.0,1,1646682000,11908
1191,22.0,2,,0,1646682000,1191
11920,4834402.0,4,4808522.0,5,1646682000,11920
11926,3091150.0,1,,0,1646682000,11926
11934,1175.0,1000,,0,1646682000,11934
11936,1589.0,400,1463.0,7,1646682000,11936
11940,1.0,375,,0,1646682000,11940
11943,3204.0,5,3204.0,5,1646682000,11943
11951,140.0,1085,,0,1646682000,11951
11955,,0,112.0,1,1646682000,11955
11957,50.0,30,,0,1646682000,11957
11959,,0,2234.0,2456,1646682000,11959
11968,12860.0,31,,0,1646682000,11968
1197,956.0,1,931.0,3,1646682000,1197
11972,12618.0,211,12220.0,1,1646682000,11972
11978,12637.0,114,12400.0,11,1646682000,11978
11980,13640.0,419,13400.0,6,1646682000,11980
1199,,0,2887.0,123,1646682000,1199
11992,,0,1332.0,130,1646682000,11992
11998,2368739.0,2,2334253.0,1,1646682000,11998
12,,0,185567.0,1,1646682000,12
12000,,0,2518828.0,2,1646682000,12000
12002,465334.0,4,455433.0,5,1646682000,12002
12004,,0,904619.0,2,1646682000,12004
1201,,0,31970.0,260,1646682000,1201
1203,,0,100.0,2,1646682000,1203
1209,,0,51.0,1,1646682000,1209
121,,0,4.0,1,1646682000,121
1211,261.0,3,257.0,5,1646682000,1211
1213,4397.0,18,4394.0,17,1646682000,1213
1215,17691.0,7,17288.0,93,1646682000,1215
1217,161.0,1,,0,1646682000,1217
12197,8000.0,1,,0,1646682000,12197
12257,10276.0,1,,0,1646682000,12257
12269,,0,7453.0,1,1646682000,12269
12273,61246.0,3,57493.0,1,1646682000,12273
12275,,0,6019.0,1,1646682000,12275
12277,7337.0,1,,0,1646682000,12277
12285,,0,4313.0,1,1646682000,12285
12291,,0,4020.0,1,1646682000,12291
12315,,0,5001.0,1,1646682000,12315
12329,3076.0,1,,0,1646682000,12329
1237,,0,2000.0,2,1646682000,1237
12383,,0,280000.0,1,1646682000,12383
12397,,0,230461.0,1,1646682000,12397
12402,12979.0,10,12868.0,30,1646682000,12402
12403,15628.0,4,,0,1646682000,12403
12404,759.0,13,745.0,1,1646682000,12404
12405,4832.0,4,4050.0,16,1646682000,12405
12406,,0,24577.0,20,1646682000,12406
12407,,0,519.0,54,1646682000,12407
12408,2480.0,2,,0,1646682000,12408
12409,11063.0,66,10901.0,28,1646682000,12409
12410,5549.0,16,5381.0,28,1646682000,12410
12411,,0,1043.0,1,1646682000,12411
12445,,0,24009.0,1,1646682000,12445
12449,,0,406002.0,1,1646682000,12449
1245,,0,900.0,125,1646682000,1245
12453,,0,313113.0,1,1646682000,12453
12460,,0,45707.0,1,1646682000,12460
12462,,0,42055.0,1,1646682000,12462
12466,,0,31303.0,1,1646682000,12466
1247,,0,12960.0,52,1646682000,1247
12480,57327.0,1,,0,1646682000,12480
12488,,0,34101.0,1,1646682000,12488
1249,,0,38014.0,4,1646682000,1249
12490,83688.0,3,,0,1646682000,12490
12492,290433.0,1,,0,1646682000,12492
12494,582000.0,1,,0,1646682000,12494
12496,,0,110017.0,2,1646682000,12496
12498,,0,86004.0,1,1646682000,12498
12500,,0,271714.0,4,1646682000,12500
12502,,0,584000.0,2,1646682000,12502
12504,,0,104838.0,2,1646682000,12504
12508,511267.0,1,,0,1646682000,12508
12510,767436.0,1,754611.0,3,1646682000,12510
12512,117489.0,1,,0,1646682000,12512
12514,21500.0,1,,0,1646682000,12514
12524,24095.0,2,24001.0,1,1646682000,12524
12526,,0,862224.0,1,1646682000,12526
12596,,0,4920000.0,1,1646682000,12596
12598,1459047.0,2,1384580.0,1,1646682000,12598
12613,,0,2465.0,1,1646682000,12613
12614,,0,1816.0,1,1646682000,12614
12615,,0,2159.0,2,1646682000,12615
12617,,0,27777.0,1,1646682000,12617
12618,33508.0,1,30050.0,1,1646682000,12618
12620,27833.0,1,26936.0,2,1646682000,12620
12624,,0,30168.0,1,1646682000,12624
12625,6909.0,301,6799.0,160,1646682000,12625
12627,,0,5135.0,2,1646682000,12627
12629,,0,3391.0,1,1646682000,12629
12631,1805.0,400,,0,1646682000,12631
