,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,189521.0,2,176050.0,2,1646685000,10
10000,5100.0,1,,0,1646685000,10000
10006,9.0,1,,0,1646685000,10006
10008,54.0,1,,0,1646685000,10008
10010,15.0,2,,0,1646685000,10010
10029,6.0,1,,0,1646685000,10029
10034,,0,818.0,307,1646685000,10034
10071,,0,3550.0,4,1646685000,10071
10075,5000.0,10,,0,1646685000,10075
10081,1752.0,1,,0,1646685000,10081
10083,,0,1710.0,1,1646685000,10083
1009,,0,169.0,2,1646685000,1009
10129,3999.0,2,,0,1646685000,10129
10136,,0,90.0,5,1646685000,10136
10142,,0,4.0,15,1646685000,10142
10148,,0,600.0,14,1646685000,10148
1021,184.0,2,,0,1646685000,1021
10282,,0,2904.0,2,1646685000,10282
10284,,0,4869.0,2,1646685000,10284
103,3200.0,2,2676.0,174,1646685000,103
1031,,0,909.0,1,1646685000,1031
10310,,0,5555.0,2,1646685000,10310
10320,,0,11432.0,1,1646685000,10320
10326,101.0,76,90.0,36,1646685000,10326
10327,,0,80.0,31,1646685000,10327
1033,4229.0,24,,0,1646685000,1033
1035,,0,2277.0,1,1646685000,1035
10364,17398.0,1,,0,1646685000,10364
10368,,0,132569.0,1,1646685000,10368
10370,700000.0,1,,0,1646685000,10370
10372,,0,845389.0,1,1646685000,10372
10374,,0,91597.0,1,1646685000,10374
1038,2207.0,2,,0,1646685000,1038
10384,,0,71002.0,1,1646685000,10384
10386,,0,434967.0,3,1646685000,10386
10388,,0,768961.0,1,1646685000,10388
1042,,0,6878.0,2,1646685000,1042
10426,,0,500.0,1,1646685000,10426
10428,6667.0,3,,0,1646685000,10428
10434,,0,2404.0,1,1646685000,10434
10442,9224.0,3,,0,1646685000,10442
10448,,0,8609.0,1,1646685000,10448
10450,,0,15050.0,1,1646685000,10450
10454,28652.0,1,15023.0,1,1646685000,10454
10456,,0,12700.0,1,1646685000,10456
10458,367465.0,1,297409.0,1,1646685000,10458
10460,265000.0,1,245000.0,1,1646685000,10460
10464,115308.0,1,90230.0,1,1646685000,10464
10468,,0,138000.0,1,1646685000,10468
10470,9833.0,2,,0,1646685000,10470
10472,5475.0,1,,0,1646685000,10472
10476,,0,6621.0,116,1646685000,10476
10496,2000.0,1,,0,1646685000,10496
105,1719.0,3229,,0,1646685000,105
10564,,0,49800.0,1,1646685000,10564
1059,,0,19.0,18,1646685000,1059
1061,99.0,2,36.0,2,1646685000,1061
1063,6.0,1,6.0,2,1646685000,1063
1065,1447.0,2,1322.0,7,1646685000,1065
1067,95.0,1,,0,1646685000,1067
1069,627.0,2,,0,1646685000,1069
107,1978.0,5400,,0,1646685000,107
1071,1360.0,1,1332.0,2,1646685000,1071
1073,,0,3481.0,8,1646685000,1073
1077,,0,1600.0,1,1646685000,1077
1079,37816.0,74,37802.0,137,1646685000,1079
10812,853.0,8,,0,1646685000,10812
10822,1999.0,1,,0,1646685000,10822
10824,450.0,1,,0,1646685000,10824
10826,1927.0,3,,0,1646685000,10826
10828,52638.0,24,51529.0,7,1646685000,10828
1083,,0,394.0,2,1646685000,1083
1085,1268.0,1,1268.0,1,1646685000,1085
10925,27370.0,12,26741.0,52,1646685000,10925
1093,37805.0,35,37804.0,8,1646685000,1093
1095,,0,5.0,192,1646685000,1095
10954,326.0,2,,0,1646685000,10954
10958,240.0,1,,0,1646685000,10958
1097,989.0,5,545.0,12,1646685000,1097
1099,2078.0,1,2078.0,20,1646685000,1099
1101,80.0,2,,0,1646685000,1101
1105,251.0,34,,0,1646685000,1105
11069,,0,209.0,909,1646685000,11069
11076,,0,810.0,17,1646685000,11076
11079,965.0,1,821.0,18,1646685000,11079
11085,,0,1245.0,1438,1646685000,11085
1109,,0,1048.0,3,1646685000,1109
11092,,0,2047.0,3,1646685000,11092
111,8308.0,11,,0,1646685000,111
11105,11918.0,10,10000.0,1,1646685000,11105
1111,2760.0,3,,0,1646685000,1111
11113,,0,12352.0,20,1646685000,11113
11118,,0,12090.0,1,1646685000,11118
11126,12448.0,88,12255.0,16,1646685000,11126
11128,1926274.0,3,1926274.0,1,1646685000,11128
1113,29446.0,1,29545.0,160,1646685000,1113
11133,1940000.0,2,1914898.0,3,1646685000,11133
1115,135.0,1,,0,1646685000,1115
1117,57.0,1,,0,1646685000,1117
1119,919.0,1,,0,1646685000,1119
11200,57000.0,2,51390.0,1,1646685000,11200
1121,2822.0,126,,0,1646685000,1121
11212,1300.0,7310,1289.0,1662,1646685000,11212
1123,9549.0,1,9535.0,10,1646685000,1123
11230,1955.0,1950,1922.0,1789,1646685000,11230
11232,,0,2217.0,648,1646685000,11232
11235,717959.0,5,706850.0,2,1646685000,11235
11237,,0,1345.0,1334,1646685000,11237
11238,1892.0,1,1892.0,4,1646685000,11238
11240,,0,2509.0,5,1646685000,11240
11242,3296.0,200,3243.0,925,1646685000,11242
11244,,0,1982.0,28,1646685000,11244
11246,,0,2261.0,42,1646685000,11246
11248,4298.0,200,4264.0,86,1646685000,11248
1125,3250.0,3,3023.0,2,1646685000,1125
11250,,0,4758.0,55,1646685000,11250
11252,,0,21406.0,16,1646685000,11252
11254,39896.0,1,38953.0,7,1646685000,11254
11256,,0,339500.0,4,1646685000,11256
11260,756.0,580,753.0,4775,1646685000,11260
1127,39685.0,6,38514.0,289,1646685000,1127
11284,3641467.0,3,3604569.0,1,1646685000,11284
11286,,0,3553100.0,1,1646685000,11286
1129,19.0,1,17.0,96,1646685000,1129
113,,0,314.0,23,1646685000,113
1133,355.0,2,330.0,4,1646685000,1133
1135,4239.0,268,4230.0,955,1646685000,1135
1137,1.0,4,,0,1646685000,1137
11377,,0,11933.0,2,1646685000,11377
1141,297.0,2,,0,1646685000,1141
1143,1999.0,1,,0,1646685000,1143
1147,11041.0,5,11044.0,50,1646685000,1147
1149,,0,58775.0,10,1646685000,1149
115,,0,224.0,1,1646685000,115
1153,63.0,3,,0,1646685000,1153
1157,154.0,1,150.0,1,1646685000,1157
1159,800.0,1,,0,1646685000,1159
1161,,0,1765.0,36,1646685000,1161
1163,20483.0,96,20483.0,172,1646685000,1163
1165,666.0,2,575.0,2,1646685000,1165
1167,60.0,11,6.0,15,1646685000,1167
1169,33.0,131,32.0,4,1646685000,1169
117,,0,148.0,1,1646685000,117
1171,,0,94.0,2,1646685000,1171
1173,,0,2.0,1,1646685000,1173
11785,35109274.0,2,35071774.0,4,1646685000,11785
1179,419.0,7,419.0,8,1646685000,1179
11791,,0,7561000.0,1,1646685000,11791
11802,12497171.0,8,12337215.0,3,1646685000,11802
11804,14131136.0,2,13952985.0,3,1646685000,11804
11806,26996667.0,1,26706590.0,4,1646685000,11806
11808,4430064.0,4,4344305.0,1,1646685000,11808
1181,,0,676.0,2,1646685000,1181
11818,,0,152000.0,1,1646685000,11818
11824,12673596.0,1,,0,1646685000,11824
11826,9057412.0,2,9000000.0,3,1646685000,11826
11828,39760143.0,1,39285589.0,4,1646685000,11828
11830,35561347.0,1,35202740.0,4,1646685000,11830
11832,25367013.0,5,25128088.0,3,1646685000,11832
11834,21723997.0,3,21448000.0,3,1646685000,11834
11836,268883.0,1,,0,1646685000,11836
11838,277680.0,1,292294.0,2,1646685000,11838
11840,,0,167106.0,42,1646685000,11840
1185,22442.0,13,22435.0,102,1646685000,1185
1187,,0,300177.0,4,1646685000,1187
11875,67.0,7000,67.0,8002,1646685000,11875
11889,12819735.0,1,12650374.0,1,1646685000,11889
119,,0,70.0,5,1646685000,119
11905,740942.0,3,710666.0,1,1646685000,11905
11908,48233.0,3,,0,1646685000,11908
1191,22.0,2,,0,1646685000,1191
11920,,0,4773333.0,3,1646685000,11920
11924,,0,2773159.0,2,1646685000,11924
11926,,0,3060000.0,1,1646685000,11926
1193,,0,247.0,1,1646685000,1193
11936,1569.0,211,1536.0,2,1646685000,11936
11940,,0,1.0,60,1646685000,11940
11943,3371.0,2,3210.0,30,1646685000,11943
1195,,0,1036.0,1,1646685000,1195
11951,130.0,2010,,0,1646685000,11951
11959,2270.0,2300,,0,1646685000,11959
11964,74737.0,1,,0,1646685000,11964
11968,12860.0,14,12326.0,1,1646685000,11968
1197,,0,1011.0,10,1646685000,1197
11972,12618.0,7,12220.0,1,1646685000,11972
11978,12892.0,269,12557.0,3,1646685000,11978
11980,13697.0,202,,0,1646685000,11980
1199,2887.0,2,2881.0,11,1646685000,1199
11992,,0,1332.0,25,1646685000,11992
11998,2361849.0,3,2328734.0,1,1646685000,11998
12,190000.0,4,185567.0,2,1646685000,12
12000,2503861.0,1,,0,1646685000,12000
12002,464458.0,7,456236.0,6,1646685000,12002
12004,,0,871310.0,2,1646685000,12004
12007,,0,12859.0,1,1646685000,12007
1201,32204.0,2,31957.0,120,1646685000,1201
1203,,0,100.0,2,1646685000,1203
1205,198.0,1,190.0,6,1646685000,1205
1207,97.0,1,36.0,1,1646685000,1207
1211,,0,261.0,9,1646685000,1211
1213,4397.0,4,4400.0,25,1646685000,1213
1215,17280.0,14,17282.0,53,1646685000,1215
1217,,0,160.0,1,1646685000,1217
12203,28896.0,2,,0,1646685000,12203
12217,,0,2000.0,3,1646685000,12217
12223,,0,404.0,1,1646685000,12223
12227,10785.0,2,,0,1646685000,12227
12231,95000.0,1,,0,1646685000,12231
12273,59748.0,2,,0,1646685000,12273
12285,,0,4056.0,1,1646685000,12285
12297,4105.0,1,,0,1646685000,12297
123,5.0,1,,0,1646685000,123
12309,1000.0,5,,0,1646685000,12309
12323,,0,4077.0,1,1646685000,12323
12331,5719.0,2,,0,1646685000,12331
12333,3383.0,1,,0,1646685000,12333
1237,,0,338.0,3,1646685000,1237
12377,,0,2001.0,1,1646685000,12377
12383,308500.0,2,,0,1646685000,12383
12389,,0,16630201.0,1,1646685000,12389
1239,,0,501.0,1,1646685000,1239
12402,12978.0,22,,0,1646685000,12402
12403,15625.0,6,15306.0,9,1646685000,12403
12404,708.0,3,650.0,18,1646685000,12404
12406,25525.0,18,24557.0,30,1646685000,12406
12407,550.0,3,,0,1646685000,12407
12408,2161.0,7,,0,1646685000,12408
12410,5381.0,18,,0,1646685000,12410
12411,910.0,21,,0,1646685000,12411
1243,255.0,1,,0,1646685000,1243
1245,,0,855.0,1,1646685000,1245
1247,19330.0,1,11810.0,3,1646685000,1247
12470,,0,45005.0,1,1646685000,12470
12472,,0,36000.0,1,1646685000,12472
12482,,0,43211.0,2,1646685000,12482
12488,37500.0,1,,0,1646685000,12488
1249,38299.0,3,,0,1646685000,1249
12490,83900.0,2,,0,1646685000,12490
12492,288839.0,1,279934.0,2,1646685000,12492
12494,570000.0,1,495990.0,2,1646685000,12494
