avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
189997.0,1,179500.0,2,1647192300,10
10.0,1,,0,1647192300,10006
55.0,26,,0,1647192300,10008
50.0,3,,0,1647192300,10012
750.0,5,,0,1647192300,10025
24.0,6,,0,1647192300,10029
850.0,500,,0,1647192300,10033
974.0,7000,962.0,1090,1647192300,10034
8999.0,30,,0,1647192300,10065
580.0,2,,0,1647192300,10069
,0,1720.0,49,1647192300,10083
,0,6.0,12000,1647192300,10087
57.0,1,,0,1647192300,1011
101.0,1,,0,1647192300,1013
1.0,600,,0,1647192300,10144
,0,404.0,3,1647192300,1017
650.0,3,,0,1647192300,1019
,0,2947.0,3,1647192300,10282
,0,39000.0,1,1647192300,10286
2645.0,1277,,0,1647192300,103
,0,4600.0,1,1647192300,1033
67500000.0,1,,0,1647192300,10346
2980.0,1,2528.0,1,1647192300,1035
,0,54149.0,1,1647192300,10354
18408.0,2,17000.0,1,1647192300,10364
36757.0,1,36757.0,1,1647192300,10366
719046.0,4,667190.0,2,1647192300,10370
,0,792489.0,2,1647192300,10372
320000.0,2,,0,1647192300,10378
585000.0,1,,0,1647192300,10380
697745.0,2,682284.0,2,1647192300,10388
81637.0,1,,0,1647192300,10390
4174889.0,3,,0,1647192300,10394
5116.0,1,,0,1647192300,10400
1112.0,1,,0,1647192300,10402
27087.0,2,,0,1647192300,10446
39548.0,3,,0,1647192300,10452
27955.0,2,,0,1647192300,10454
32033.0,1,,0,1647192300,10456
93500.0,1,,0,1647192300,10466
6745.0,500,6675.0,152,1647192300,10476
,0,28793.0,1,1647192300,10589
73.0,4,40.0,3,1647192300,1059
70.0,4,46.0,112,1647192300,1061
6.0,1,,0,1647192300,1063
949.0,556,,0,1647192300,1065
500.0,2,,0,1647192300,1069
2059.0,1,1966.0,1106,1647192300,107
1311.0,107,1339.0,1,1647192300,1071
3579.0,125,3500.0,23,1647192300,1073
,0,346.0,1,1647192300,1075
1468.0,3,1396.0,1,1647192300,1077
37971.0,18,37793.0,123,1647192300,1079
994.0,4,,0,1647192300,10810
905.0,18,,0,1647192300,10812
1404.0,3,1644.0,1,1647192300,10822
200.0,3,100.0,1,1647192300,10824
1932.0,1,1099.0,2,1647192300,10826
54708.0,17,53625.0,3,1647192300,10828
420.0,1,373.0,2,1647192300,1083
1374.0,124,1356.0,2,1647192300,1085
1174.0,13,,0,1647192300,109
,0,3550.0,27,1647192300,1091
,0,30726.0,20,1647192300,10925
37847.0,1,37849.0,26,1647192300,1093
650.0,2,560.0,2,1647192300,1097
1624.0,1,,0,1647192300,10981
2194.0,2,2244.0,13,1647192300,1099
59.0,2,,0,1647192300,1101
,0,129000.0,2,1647192300,11037
370.0,1,,0,1647192300,1105
430.0,2,,0,1647192300,11065
210.0,1078,222.0,1574,1647192300,11069
905.0,1,,0,1647192300,11079
,0,1096.0,1,1647192300,1109
2257.0,1209,2208.0,7,1647192300,11090
2088.0,477,,0,1647192300,11092
12650.0,10,,0,1647192300,11105
,0,3137.0,1,1647192300,1111
,0,12371.0,9,1647192300,11113
11850.0,250,11850.0,250,1647192300,11115
12181.0,19,12161.0,255,1647192300,11126
,0,1905484.0,2,1647192300,11128
29531.0,2,29472.0,70,1647192300,1113
1920000.0,3,,0,1647192300,11133
100.0,103,,0,1647192300,1115
,0,75.0,2,1647192300,1117
